techs,nodes,O_1,O_2
open_field_pv,GBR_1,3.96,16.7
open_field_pv,GBR_2,4,11
open_field_pv,GBR_3,4.88,16.13
open_field_pv,GBR_4,2.82,12.63
open_field_pv,GBR_5,3,11
open_field_pv,GBR_6,4,11
roof_mounted_pv,GBR_1,,24.6
roof_mounted_pv,GBR_2,,23
roof_mounted_pv,GBR_3,,27.89
roof_mounted_pv,GBR_4,,28.92
roof_mounted_pv,GBR_5,,31
roof_mounted_pv,GBR_6,,16
wind_onshore_competing,GBR_1,9.23,19.77
wind_onshore_competing,GBR_2,6,18
wind_onshore_competing,GBR_3,8.18,17.21
wind_onshore_competing,GBR_4,8.27,14.61
wind_onshore_competing,GBR_5,8,18
wind_onshore_competing,GBR_6,9,21
wind_onshore_monopoly,GBR_1,9.23,19.77
wind_onshore_monopoly,GBR_2,6,18
wind_onshore_monopoly,GBR_3,8.18,17.21
wind_onshore_monopoly,GBR_4,8.27,14.61
wind_onshore_monopoly,GBR_5,8,18
wind_onshore_monopoly,GBR_6,9,21
wind_offshore,GBR_1,5.06,0
wind_offshore,GBR_2,2,0
wind_offshore,GBR_3,4.92,0
wind_offshore,GBR_4,4.09,0
wind_offshore,GBR_5,4,0
wind_offshore,GBR_6,4,0
nuclear,GBR_1,,37.63
nuclear,GBR_2,,32
nuclear,GBR_3,,36.38
nuclear,GBR_4,,37.17
nuclear,GBR_5,,39
nuclear,GBR_6,,40
electrified_biofuel,GBR_1,8.75,
electrified_biofuel,GBR_2,7,
electrified_biofuel,GBR_3,7.53,
electrified_biofuel,GBR_4,8.11,
electrified_biofuel,GBR_5,7,
electrified_biofuel,GBR_6,7,
battery,GBR_1,10.86,
battery,GBR_2,10.86,
battery,GBR_3,10.86,
battery,GBR_4,10.86,
battery,GBR_5,10.86,
battery,GBR_6,10.86,
pumped_hydro,GBR_1,10,
pumped_hydro,GBR_2,10,
pumped_hydro,GBR_3,10,
pumped_hydro,GBR_4,10,
pumped_hydro,GBR_5,10,
pumped_hydro,GBR_6,10,
ac_ohl,GBR_1,,28.67
ac_ohl,GBR_2,,39
ac_ohl,GBR_3,,27.39
ac_ohl,GBR_4,,29.87
ac_ohl,GBR_5,,26
ac_ohl,GBR_6,,33
