timesteps,techs,parameters,value
2016-01-01 00:00:00,import_electricity,cost_flow_out,0.003958309
2016-01-01 00:00:00,export_electricity,cost_flow_in,-0.003958309
2016-01-01 01:00:00,import_electricity,cost_flow_out,0.003771884
2016-01-01 01:00:00,export_electricity,cost_flow_in,-0.003771884
2016-01-01 02:00:00,import_electricity,cost_flow_out,0.003361502
2016-01-01 02:00:00,export_electricity,cost_flow_in,-0.003361502
2016-01-01 03:00:00,import_electricity,cost_flow_out,0.003360986
2016-01-01 03:00:00,export_electricity,cost_flow_in,-0.003360986
2016-01-01 04:00:00,import_electricity,cost_flow_out,0.003361191
2016-01-01 04:00:00,export_electricity,cost_flow_in,-0.003361191
2016-01-01 05:00:00,import_electricity,cost_flow_out,0.00391382
2016-01-01 05:00:00,export_electricity,cost_flow_in,-0.00391382
2016-01-01 06:00:00,import_electricity,cost_flow_out,0.003370219
2016-01-01 06:00:00,export_electricity,cost_flow_in,-0.003370219
2016-01-01 07:00:00,import_electricity,cost_flow_out,0.00168876
2016-01-01 07:00:00,export_electricity,cost_flow_in,-0.00168876
2016-01-01 08:00:00,import_electricity,cost_flow_out,0.001683279
2016-01-01 08:00:00,export_electricity,cost_flow_in,-0.001683279
2016-01-01 09:00:00,import_electricity,cost_flow_out,0.001682309
2016-01-01 09:00:00,export_electricity,cost_flow_in,-0.001682309
2016-01-01 10:00:00,import_electricity,cost_flow_out,0.001681868
2016-01-01 10:00:00,export_electricity,cost_flow_in,-0.001681868
2016-01-01 11:00:00,import_electricity,cost_flow_out,0.00168103
2016-01-01 11:00:00,export_electricity,cost_flow_in,-0.00168103
2016-01-01 12:00:00,import_electricity,cost_flow_out,0.001679681
2016-01-01 12:00:00,export_electricity,cost_flow_in,-0.001679681
2016-01-01 13:00:00,import_electricity,cost_flow_out,0.001682156
2016-01-01 13:00:00,export_electricity,cost_flow_in,-0.001682156
2016-01-01 14:00:00,import_electricity,cost_flow_out,0.001701455
2016-01-01 14:00:00,export_electricity,cost_flow_in,-0.001701455
2016-01-01 15:00:00,import_electricity,cost_flow_out,0.003724999
2016-01-01 15:00:00,export_electricity,cost_flow_in,-0.003724999
2016-01-01 16:00:00,import_electricity,cost_flow_out,0.003959805
2016-01-01 16:00:00,export_electricity,cost_flow_in,-0.003959805
2016-01-01 17:00:00,import_electricity,cost_flow_out,0.003961266
2016-01-01 17:00:00,export_electricity,cost_flow_in,-0.003961266
2016-01-01 18:00:00,import_electricity,cost_flow_out,0.00396173
2016-01-01 18:00:00,export_electricity,cost_flow_in,-0.00396173
2016-01-01 19:00:00,import_electricity,cost_flow_out,0.003961449
2016-01-01 19:00:00,export_electricity,cost_flow_in,-0.003961449
2016-01-01 20:00:00,import_electricity,cost_flow_out,0.003960856
2016-01-01 20:00:00,export_electricity,cost_flow_in,-0.003960856
2016-01-01 21:00:00,import_electricity,cost_flow_out,0.003960378
2016-01-01 21:00:00,export_electricity,cost_flow_in,-0.003960378
2016-01-01 22:00:00,import_electricity,cost_flow_out,0.003929697
2016-01-01 22:00:00,export_electricity,cost_flow_in,-0.003929697
2016-01-01 23:00:00,import_electricity,cost_flow_out,0.00337114
2016-01-01 23:00:00,export_electricity,cost_flow_in,-0.00337114
2016-01-02 00:00:00,import_electricity,cost_flow_out,0.003370464
2016-01-02 00:00:00,export_electricity,cost_flow_in,-0.003370464
2016-01-02 01:00:00,import_electricity,cost_flow_out,0.003369874
2016-01-02 01:00:00,export_electricity,cost_flow_in,-0.003369874
2016-01-02 02:00:00,import_electricity,cost_flow_out,0.003368767
2016-01-02 02:00:00,export_electricity,cost_flow_in,-0.003368767
2016-01-02 03:00:00,import_electricity,cost_flow_out,0.003368485
2016-01-02 03:00:00,export_electricity,cost_flow_in,-0.003368485
2016-01-02 04:00:00,import_electricity,cost_flow_out,0.003369493
2016-01-02 04:00:00,export_electricity,cost_flow_in,-0.003369493
2016-01-02 05:00:00,import_electricity,cost_flow_out,0.00337291
2016-01-02 05:00:00,export_electricity,cost_flow_in,-0.00337291
2016-01-02 06:00:00,import_electricity,cost_flow_out,0.004405871
2016-01-02 06:00:00,export_electricity,cost_flow_in,-0.004405871
2016-01-02 07:00:00,import_electricity,cost_flow_out,0.004395476
2016-01-02 07:00:00,export_electricity,cost_flow_in,-0.004395476
2016-01-02 08:00:00,import_electricity,cost_flow_out,0.004401884
2016-01-02 08:00:00,export_electricity,cost_flow_in,-0.004401884
2016-01-02 09:00:00,import_electricity,cost_flow_out,0.004401986
2016-01-02 09:00:00,export_electricity,cost_flow_in,-0.004401986
2016-01-02 10:00:00,import_electricity,cost_flow_out,0.004394336
2016-01-02 10:00:00,export_electricity,cost_flow_in,-0.004394336
2016-01-02 11:00:00,import_electricity,cost_flow_out,0.00440696
2016-01-02 11:00:00,export_electricity,cost_flow_in,-0.00440696
2016-01-02 12:00:00,import_electricity,cost_flow_out,0.004408067
2016-01-02 12:00:00,export_electricity,cost_flow_in,-0.004408067
2016-01-02 13:00:00,import_electricity,cost_flow_out,0.004409376
2016-01-02 13:00:00,export_electricity,cost_flow_in,-0.004409376
2016-01-02 14:00:00,import_electricity,cost_flow_out,0.004411866
2016-01-02 14:00:00,export_electricity,cost_flow_in,-0.004411866
2016-01-02 15:00:00,import_electricity,cost_flow_out,0.004412814
2016-01-02 15:00:00,export_electricity,cost_flow_in,-0.004412814
2016-01-02 16:00:00,import_electricity,cost_flow_out,0.004413009
2016-01-02 16:00:00,export_electricity,cost_flow_in,-0.004413009
2016-01-02 17:00:00,import_electricity,cost_flow_out,0.004413033
2016-01-02 17:00:00,export_electricity,cost_flow_in,-0.004413033
2016-01-02 18:00:00,import_electricity,cost_flow_out,0.004412992
2016-01-02 18:00:00,export_electricity,cost_flow_in,-0.004412992
2016-01-02 19:00:00,import_electricity,cost_flow_out,0.004412863
2016-01-02 19:00:00,export_electricity,cost_flow_in,-0.004412863
2016-01-02 20:00:00,import_electricity,cost_flow_out,0.004412456
2016-01-02 20:00:00,export_electricity,cost_flow_in,-0.004412456
2016-01-02 21:00:00,import_electricity,cost_flow_out,0.004410757
2016-01-02 21:00:00,export_electricity,cost_flow_in,-0.004410757
2016-01-02 22:00:00,import_electricity,cost_flow_out,0.004388015
2016-01-02 22:00:00,export_electricity,cost_flow_in,-0.004388015
2016-01-02 23:00:00,import_electricity,cost_flow_out,0.00161871
2016-01-02 23:00:00,export_electricity,cost_flow_in,-0.00161871
2016-01-03 00:00:00,import_electricity,cost_flow_out,0.001616422
2016-01-03 00:00:00,export_electricity,cost_flow_in,-0.001616422
2016-01-03 01:00:00,import_electricity,cost_flow_out,0.001579183
2016-01-03 01:00:00,export_electricity,cost_flow_in,-0.001579183
2016-01-03 02:00:00,import_electricity,cost_flow_out,0.001576035
2016-01-03 02:00:00,export_electricity,cost_flow_in,-0.001576035
2016-01-03 03:00:00,import_electricity,cost_flow_out,0.001574148
2016-01-03 03:00:00,export_electricity,cost_flow_in,-0.001574148
2016-01-03 04:00:00,import_electricity,cost_flow_out,0.001573873
2016-01-03 04:00:00,export_electricity,cost_flow_in,-0.001573873
2016-01-03 05:00:00,import_electricity,cost_flow_out,0.001577162
2016-01-03 05:00:00,export_electricity,cost_flow_in,-0.001577162
2016-01-03 06:00:00,import_electricity,cost_flow_out,0.001615252
2016-01-03 06:00:00,export_electricity,cost_flow_in,-0.001615252
2016-01-03 07:00:00,import_electricity,cost_flow_out,0.001616348
2016-01-03 07:00:00,export_electricity,cost_flow_in,-0.001616348
2016-01-03 08:00:00,import_electricity,cost_flow_out,0.001617428
2016-01-03 08:00:00,export_electricity,cost_flow_in,-0.001617428
2016-01-03 09:00:00,import_electricity,cost_flow_out,0.001618059
2016-01-03 09:00:00,export_electricity,cost_flow_in,-0.001618059
2016-01-03 10:00:00,import_electricity,cost_flow_out,0.00161785
2016-01-03 10:00:00,export_electricity,cost_flow_in,-0.00161785
2016-01-03 11:00:00,import_electricity,cost_flow_out,0.001617259
2016-01-03 11:00:00,export_electricity,cost_flow_in,-0.001617259
2016-01-03 12:00:00,import_electricity,cost_flow_out,0.001616606
2016-01-03 12:00:00,export_electricity,cost_flow_in,-0.001616606
2016-01-03 13:00:00,import_electricity,cost_flow_out,0.001615987
2016-01-03 13:00:00,export_electricity,cost_flow_in,-0.001615987
2016-01-03 14:00:00,import_electricity,cost_flow_out,0.001615349
2016-01-03 14:00:00,export_electricity,cost_flow_in,-0.001615349
2016-01-03 15:00:00,import_electricity,cost_flow_out,0.001616894
2016-01-03 15:00:00,export_electricity,cost_flow_in,-0.001616894
2016-01-03 16:00:00,import_electricity,cost_flow_out,0.001618444
2016-01-03 16:00:00,export_electricity,cost_flow_in,-0.001618444
2016-01-03 17:00:00,import_electricity,cost_flow_out,0.00168219
2016-01-03 17:00:00,export_electricity,cost_flow_in,-0.00168219
2016-01-03 18:00:00,import_electricity,cost_flow_out,0.001682157
2016-01-03 18:00:00,export_electricity,cost_flow_in,-0.001682157
2016-01-03 19:00:00,import_electricity,cost_flow_out,0.001681213
2016-01-03 19:00:00,export_electricity,cost_flow_in,-0.001681213
2016-01-03 20:00:00,import_electricity,cost_flow_out,0.001620405
2016-01-03 20:00:00,export_electricity,cost_flow_in,-0.001620405
2016-01-03 21:00:00,import_electricity,cost_flow_out,0.001617565
2016-01-03 21:00:00,export_electricity,cost_flow_in,-0.001617565
2016-01-03 22:00:00,import_electricity,cost_flow_out,0.001615718
2016-01-03 22:00:00,export_electricity,cost_flow_in,-0.001615718
2016-01-03 23:00:00,import_electricity,cost_flow_out,0.001575996
2016-01-03 23:00:00,export_electricity,cost_flow_in,-0.001575996
2016-01-04 00:00:00,import_electricity,cost_flow_out,0.001575503
2016-01-04 00:00:00,export_electricity,cost_flow_in,-0.001575503
2016-01-04 01:00:00,import_electricity,cost_flow_out,0.001575643
2016-01-04 01:00:00,export_electricity,cost_flow_in,-0.001575643
2016-01-04 02:00:00,import_electricity,cost_flow_out,0.001575735
2016-01-04 02:00:00,export_electricity,cost_flow_in,-0.001575735
2016-01-04 03:00:00,import_electricity,cost_flow_out,0.001576273
2016-01-04 03:00:00,export_electricity,cost_flow_in,-0.001576273
2016-01-04 04:00:00,import_electricity,cost_flow_out,0.001602596
2016-01-04 04:00:00,export_electricity,cost_flow_in,-0.001602596
2016-01-04 05:00:00,import_electricity,cost_flow_out,0.001681987
2016-01-04 05:00:00,export_electricity,cost_flow_in,-0.001681987
2016-01-04 06:00:00,import_electricity,cost_flow_out,0.004409192
2016-01-04 06:00:00,export_electricity,cost_flow_in,-0.004409192
2016-01-04 07:00:00,import_electricity,cost_flow_out,0.004410236
2016-01-04 07:00:00,export_electricity,cost_flow_in,-0.004410236
2016-01-04 08:00:00,import_electricity,cost_flow_out,0.004411001
2016-01-04 08:00:00,export_electricity,cost_flow_in,-0.004411001
2016-01-04 09:00:00,import_electricity,cost_flow_out,0.004411114
2016-01-04 09:00:00,export_electricity,cost_flow_in,-0.004411114
2016-01-04 10:00:00,import_electricity,cost_flow_out,0.004411334
2016-01-04 10:00:00,export_electricity,cost_flow_in,-0.004411334
2016-01-04 11:00:00,import_electricity,cost_flow_out,0.004411708
2016-01-04 11:00:00,export_electricity,cost_flow_in,-0.004411708
2016-01-04 12:00:00,import_electricity,cost_flow_out,0.004411848
2016-01-04 12:00:00,export_electricity,cost_flow_in,-0.004411848
2016-01-04 13:00:00,import_electricity,cost_flow_out,0.004412126
2016-01-04 13:00:00,export_electricity,cost_flow_in,-0.004412126
2016-01-04 14:00:00,import_electricity,cost_flow_out,0.004412514
2016-01-04 14:00:00,export_electricity,cost_flow_in,-0.004412514
2016-01-04 15:00:00,import_electricity,cost_flow_out,0.004412887
2016-01-04 15:00:00,export_electricity,cost_flow_in,-0.004412887
2016-01-04 16:00:00,import_electricity,cost_flow_out,0.004413109
2016-01-04 16:00:00,export_electricity,cost_flow_in,-0.004413109
2016-01-04 17:00:00,import_electricity,cost_flow_out,0.004413163
2016-01-04 17:00:00,export_electricity,cost_flow_in,-0.004413163
2016-01-04 18:00:00,import_electricity,cost_flow_out,0.004413138
2016-01-04 18:00:00,export_electricity,cost_flow_in,-0.004413138
2016-01-04 19:00:00,import_electricity,cost_flow_out,0.004413027
2016-01-04 19:00:00,export_electricity,cost_flow_in,-0.004413027
2016-01-04 20:00:00,import_electricity,cost_flow_out,0.004412831
2016-01-04 20:00:00,export_electricity,cost_flow_in,-0.004412831
2016-01-04 21:00:00,import_electricity,cost_flow_out,0.004412234
2016-01-04 21:00:00,export_electricity,cost_flow_in,-0.004412234
2016-01-04 22:00:00,import_electricity,cost_flow_out,0.004404708
2016-01-04 22:00:00,export_electricity,cost_flow_in,-0.004404708
2016-01-04 23:00:00,import_electricity,cost_flow_out,0.003761501
2016-01-04 23:00:00,export_electricity,cost_flow_in,-0.003761501
2016-01-05 00:00:00,import_electricity,cost_flow_out,0.003760412
2016-01-05 00:00:00,export_electricity,cost_flow_in,-0.003760412
2016-01-05 01:00:00,import_electricity,cost_flow_out,0.003759383
2016-01-05 01:00:00,export_electricity,cost_flow_in,-0.003759383
2016-01-05 02:00:00,import_electricity,cost_flow_out,0.003758217
2016-01-05 02:00:00,export_electricity,cost_flow_in,-0.003758217
2016-01-05 03:00:00,import_electricity,cost_flow_out,0.003758757
2016-01-05 03:00:00,export_electricity,cost_flow_in,-0.003758757
2016-01-05 04:00:00,import_electricity,cost_flow_out,0.003760406
2016-01-05 04:00:00,export_electricity,cost_flow_in,-0.003760406
2016-01-05 05:00:00,import_electricity,cost_flow_out,0.00441021
2016-01-05 05:00:00,export_electricity,cost_flow_in,-0.00441021
2016-01-05 06:00:00,import_electricity,cost_flow_out,0.004412833
2016-01-05 06:00:00,export_electricity,cost_flow_in,-0.004412833
2016-01-05 07:00:00,import_electricity,cost_flow_out,0.004412915
2016-01-05 07:00:00,export_electricity,cost_flow_in,-0.004412915
2016-01-05 08:00:00,import_electricity,cost_flow_out,0.004412969
2016-01-05 08:00:00,export_electricity,cost_flow_in,-0.004412969
2016-01-05 09:00:00,import_electricity,cost_flow_out,0.004412867
2016-01-05 09:00:00,export_electricity,cost_flow_in,-0.004412867
2016-01-05 10:00:00,import_electricity,cost_flow_out,0.004412231
2016-01-05 10:00:00,export_electricity,cost_flow_in,-0.004412231
2016-01-05 11:00:00,import_electricity,cost_flow_out,0.004411678
2016-01-05 11:00:00,export_electricity,cost_flow_in,-0.004411678
2016-01-05 12:00:00,import_electricity,cost_flow_out,0.004411995
2016-01-05 12:00:00,export_electricity,cost_flow_in,-0.004411995
2016-01-05 13:00:00,import_electricity,cost_flow_out,0.004412429
2016-01-05 13:00:00,export_electricity,cost_flow_in,-0.004412429
2016-01-05 14:00:00,import_electricity,cost_flow_out,0.004412663
2016-01-05 14:00:00,export_electricity,cost_flow_in,-0.004412663
2016-01-05 15:00:00,import_electricity,cost_flow_out,0.004412939
2016-01-05 15:00:00,export_electricity,cost_flow_in,-0.004412939
2016-01-05 16:00:00,import_electricity,cost_flow_out,0.004413098
2016-01-05 16:00:00,export_electricity,cost_flow_in,-0.004413098
2016-01-05 17:00:00,import_electricity,cost_flow_out,0.004413142
2016-01-05 17:00:00,export_electricity,cost_flow_in,-0.004413142
2016-01-05 18:00:00,import_electricity,cost_flow_out,0.004413181
2016-01-05 18:00:00,export_electricity,cost_flow_in,-0.004413181
2016-01-05 19:00:00,import_electricity,cost_flow_out,0.004413123
2016-01-05 19:00:00,export_electricity,cost_flow_in,-0.004413123
2016-01-05 20:00:00,import_electricity,cost_flow_out,0.004413071
2016-01-05 20:00:00,export_electricity,cost_flow_in,-0.004413071
2016-01-05 21:00:00,import_electricity,cost_flow_out,0.00441302
2016-01-05 21:00:00,export_electricity,cost_flow_in,-0.00441302
2016-01-05 22:00:00,import_electricity,cost_flow_out,0.00441277
2016-01-05 22:00:00,export_electricity,cost_flow_in,-0.00441277
2016-01-05 23:00:00,import_electricity,cost_flow_out,0.004411897
2016-01-05 23:00:00,export_electricity,cost_flow_in,-0.004411897
2016-01-06 00:00:00,import_electricity,cost_flow_out,0.004411614
2016-01-06 00:00:00,export_electricity,cost_flow_in,-0.004411614
2016-01-06 01:00:00,import_electricity,cost_flow_out,0.004411805
2016-01-06 01:00:00,export_electricity,cost_flow_in,-0.004411805
2016-01-06 02:00:00,import_electricity,cost_flow_out,0.004412441
2016-01-06 02:00:00,export_electricity,cost_flow_in,-0.004412441
2016-01-06 03:00:00,import_electricity,cost_flow_out,0.004412915
2016-01-06 03:00:00,export_electricity,cost_flow_in,-0.004412915
2016-01-06 04:00:00,import_electricity,cost_flow_out,0.004413172
2016-01-06 04:00:00,export_electricity,cost_flow_in,-0.004413172
2016-01-06 05:00:00,import_electricity,cost_flow_out,0.004413382
2016-01-06 05:00:00,export_electricity,cost_flow_in,-0.004413382
2016-01-06 06:00:00,import_electricity,cost_flow_out,0.004413515
